,id,quantity,order_id,product_id,price,name,order_datetime
0,1,2,1,6,0.8,Plain Papadum,2019-08-03 20:25:00
1,2,1,1,240,12.95,King Prawn Balti,2019-08-03 20:25:00
2,3,1,1,19,2.95,Garlic Naan,2019-08-03 20:25:00
3,4,1,1,36,3.95,Mushroom Rice,2019-08-03 20:25:00
4,5,1,1,111,8.95,Paneer Tikka Masala,2019-08-03 20:25:00
5,6,1,1,3,0.5,Mango Chutney,2019-08-03 20:25:00
6,7,1,2,11,2.6,Plain Naan,2019-08-03 20:17:00
7,8,1,2,36,3.95,Mushroom Rice,2019-08-03 20:17:00
8,9,1,2,55,4.95,Tandoori Chicken (1/4),2019-08-03 20:17:00
9,10,1,2,98,7.95,Vindaloo - Lamb,2019-08-03 20:17:00
10,11,1,2,8,1.95,Chapati,2019-08-03 20:17:00
11,12,1,2,58,4.95,Lamb Tikka,2019-08-03 20:17:00
12,13,1,2,66,5.95,Saag Paneer,2019-08-03 20:17:00
13,14,1,3,54,4.95,Aloo Chaat,2019-08-03 20:09:00
14,15,1,3,68,5.95,Chicken Pakora,2019-08-03 20:09:00
15,16,1,3,169,9.95,Chicken Chilli Garlic,2019-08-03 20:09:00
16,17,1,3,170,9.95,Lamb Biryani,2019-08-03 20:09:00
17,18,1,3,13,2.95,Keema Naan,2019-08-03 20:09:00
18,19,1,4,68,5.95,Chicken Pakora,2019-08-03 20:01:00
19,20,1,4,6,0.8,Plain Papadum,2019-08-03 20:01:00
20,21,1,4,3,0.5,Mango Chutney,2019-08-03 20:01:00
21,22,1,4,4,0.5,Red Sauce,2019-08-03 20:01:00
22,23,1,4,191,9.95,Korma - Prawn,2019-08-03 20:01:00
23,24,1,4,14,2.95,Peshwari Naan,2019-08-03 20:01:00
24,25,1,4,15,2.95,Pilau Rice,2019-08-03 20:01:00
25,26,1,5,165,9.95,Chicken Balti,2019-08-03 19:44:00
26,27,2,5,34,3.95,Special Fried Rice,2019-08-03 19:44:00
27,28,1,6,103,8.95,Chicken Tikka Masala,2019-08-03 19:42:00
28,29,1,6,95,7.95,Curry - Lamb,2019-08-03 19:42:00
29,30,1,6,15,2.95,Pilau Rice,2019-08-03 19:42:00
30,31,1,6,14,2.95,Peshwari Naan,2019-08-03 19:42:00
31,32,1,6,6,0.8,Plain Papadum,2019-08-03 19:42:00
32,33,2,7,6,0.8,Plain Papadum,2019-08-03 19:41:00
33,34,1,7,38,3.95,Vegetable Rice,2019-08-03 19:41:00
34,35,1,7,203,9.95,Saag - Prawn,2019-08-03 19:41:00
35,36,1,7,136,8.95,Tandoori Chicken Masala,2019-08-03 19:41:00
36,37,1,8,15,2.95,Pilau Rice,2019-08-03 19:29:00
37,38,1,8,144,8.95,Lamb Tikka Chilli Masala,2019-08-03 19:29:00
38,39,1,8,14,2.95,Peshwari Naan,2019-08-03 19:29:00
39,40,1,8,74,5.95,Saag Aloo,2019-08-03 19:29:00
40,41,1,9,79,5.95,Aloo Gobi,2019-08-03 19:28:00
41,42,1,9,64,5.95,Bhindi Bhajee,2019-08-03 19:28:00
42,43,1,9,66,5.95,Saag Paneer,2019-08-03 19:28:00
43,44,2,9,1,0.5,Mint Sauce,2019-08-03 19:28:00
44,45,1,9,176,9.95,Chicken Biryani,2019-08-03 19:28:00
45,46,1,9,19,2.95,Garlic Naan,2019-08-03 19:28:00
46,47,1,9,11,2.6,Plain Naan,2019-08-03 19:28:00
47,48,1,9,136,8.95,Tandoori Chicken Masala,2019-08-03 19:28:00
48,49,4,10,6,0.8,Plain Papadum,2019-08-03 19:26:00
49,50,2,10,4,0.5,Red Sauce,2019-08-03 19:26:00
50,51,1,10,103,8.95,Chicken Tikka Masala,2019-08-03 19:26:00
51,52,1,10,94,7.95,Madras - Chicken Tikka,2019-08-03 19:26:00
52,53,2,10,36,3.95,Mushroom Rice,2019-08-03 19:26:00
